#{"t_start": 1776079954.582204, "env_id": "highway-v0"}
r,l,t
13.78446,15,20694.823834
5.123407,6,20702.402702
20.945821,22,20730.206068
19.193684,20,20755.679132
16.121556,17,20777.169861
8.957162,10,20789.812766
12.757918,14,20807.518627
5.757924,7,20816.365973
10.050158,11,20830.226068
7.955321,9,20841.602811
9.87276,11,20855.577742
8.757918,10,20868.272659
7.054113,8,20878.430793
21.957162,23,20907.665576
9.760973,12,20922.740029
6.76015,8,20932.9443
5.959013,7,20941.797469
24.959012,26,20974.693442
10.553543,13,20991.0603
10.9186,12,21006.122866
9.959012,11,21020.003109
16.995094,18,21042.550312
7.955048,9,21053.919412
11.985727,13,21070.213125
4.05059,5,21076.576747
4.959018,6,21084.134522
10.754481,12,21099.239025
16.161707,18,21121.927715
22.445261,25,21153.715514
10.957171,12,21168.914181
6.753955,8,21179.045532
18.752642,20,21204.218303
8.955048,10,21216.914985
25.143687,27,21251.068367
6.922312,8,21261.288046
4.957177,6,21268.971749
8.035208,10,21281.626712
2.959217,4,21286.711853
5.957172,7,21295.527719
5.955059,7,21304.34958
1.196243,2,21306.96417
7.195798,8,21317.039677
7.195803,8,21327.104869
12.953473,14,21344.895136
6.957167,8,21355.135653
15.459957,19,21379.062602
1.958373,3,21382.894591
5.275354,6,21390.547319
2.987592,4,21395.666783
5.955059,7,21404.578434
21.945556,23,21433.806861
18.351743,20,21458.87848
11.955058,13,21475.483188
11.959012,13,21492.005849
13.947387,15,21510.920178
17.19869,19,21534.831871
14.752747,16,21555.132013
8.723443,10,21567.722256
3.123424,4,21572.893038
6.955048,8,21582.962503
12.040365,13,21599.582728
8.360355,10,21612.399851
5.271928,6,21620.044052
3.560645,5,21626.471028
7.959012,9,21637.893642
6.271654,7,21646.890222
6.849495,8,21656.98473
10.559049,12,21672.135491
4.957172,6,21679.774224
13.549578,15,21698.768723
6.054113,7,21707.613693
7.957162,9,21718.964314
29.744274,30,21756.689441
7.957162,9,21768.111284
10.157634,12,21783.224924
9.918624,11,21797.19413
2.197804,3,21801.064971
8.951598,10,21813.650271
5.957163,7,21822.447679
17.52764,20,21847.755613
11.959012,13,21864.237686
5.586855,7,21873.161229
5.957163,7,21881.950783
23.948957,25,21913.787806
17.746269,19,21937.67501
4.959018,6,21945.183836
4.957172,6,21952.792812
9.120532,10,21965.486991
22.119969,23,21994.774964
26.561723,30,22032.946095
5.959013,7,22041.743229
3.202327,5,22048.123271
7.957171,9,22059.619281
18.983854,20,22084.793312
13.557205,15,22103.533756
7.400966,9,22114.912766
10.07833,11,22128.92398
4.195799,5,22135.233392
3.959047,5,22141.573052
13.959012,15,22160.592391
7.957162,9,22172.129474
18.959012,20,22197.254168
18.753787,21,22223.77529
14.953197,16,22244.025261
4.957177,6,22251.77493
13.717352,15,22270.770983
11.121556,12,22286.033865
16.191775,19,22309.818133
5.957172,7,22318.658184
9.277194,10,22331.474394
21.557205,23,22360.63038
16.957166,18,22383.54784
10.794132,12,22398.759241
12.996611,15,22417.686853
12.372746,16,22438.122236
15.610834,18,22460.919038
5.65153,7,22469.811951
12.951086,14,22487.317895
15.721709,17,22508.934491
11.957166,13,22525.447077
7.959012,9,22536.857034
23.748677,30,22574.43693
7.556429,9,22585.713624
11.955321,13,22602.017397
6.571735,9,22613.401947
9.556428,11,22627.28608
5.357763,7,22636.215897
3.795219,5,22642.538985
12.240813,15,22661.468992
8.957166,10,22674.215272
10.955312,12,22689.234563
5.957163,7,22698.118833
4.957177,6,22705.802807
5.955059,7,22714.627255
15.952921,17,22736.118279
8.161334,10,22748.761798
6.559055,8,22758.880793
10.561285,12,22774.07801
12.85155,14,22791.768707
12.556428,14,22809.419064
27.086518,30,22847.208116
8.130682,11,22861.077317
23.856616,25,22892.794607
17.137148,20,22917.880244
6.58907,8,22927.928491
18.962331,21,22954.379487
4.957168,6,22962.012809
4.953206,6,22969.644775
9.959012,11,22983.557474
13.995476,15,23002.520621
12.840532,15,23021.377151
16.831492,20,23046.682303
14.754227,16,23066.956627
12.750792,14,23084.726105
3.123424,4,23089.796295
10.949507,12,23105.014867
5.156936,7,23113.893594
3.959047,5,23120.321279
7.957162,9,23131.644651
7.153934,9,23143.119613
19.15354,21,23169.713983
21.99235,30,23207.565095
11.552958,13,23224.011129
3.959047,5,23230.339812
14.269253,15,23249.351797
3.959047,5,23255.670915
7.271636,8,23265.808907
7.208009,10,23278.397839
9.953462,11,23292.386479
6.959012,8,23302.454854
10.004166,12,23317.533587
